MCMC round,"pr-(Sc,Sf)","pr-((Sc,Sf),Sb)","pr-(((Sc,Sf),Sb),Sa)","pr-(((Sc,Sf),Sb),Sa),Pg","ls-(Sc,Sf)","ls-((Sc,Sf),Sb)","ls-(((Sc,Sf),Sb),Sa)","gn-(Sc,Sf)","gn-((Sc,Sf),Sb)","gn-(((Sc,Sf),Sb),Sa)",log-likelihood,"lsrate-(Sc,Sf)","lsrate-((Sc,Sf),Sb)","lsrate-(((Sc,Sf),Sb),Sa)","gnrate-(Sc,Sf)","gnrate-((Sc,Sf),Sb)","gnrate-(((Sc,Sf),Sb),Sa)"
86,2782.23398,2759.791936,2598.11511,1383.311423,46.64561089,642.968438,1552.356829,24.2035673,481.2916112,337.5531419,-13622.24356,0.00882512717,0.2080271692,0.2877032693,0.001397411671,0.02128475498,0.05228852565
87,2856.423158,2851.729912,2607.836858,1401.848406,44.26075669,685.6072482,1551.884035,39.56751093,441.7141941,345.8955835,-13750.56333,0.01397641488,0.1886234156,0.291313588,0.001314930804,0.02215701851,0.05160608893
88,2793.294505,2766.342267,2603.270177,1384.374762,51.25118037,621.3947942,1584.165893,24.2989429,458.3227041,365.2704784,-13458.21082,0.008834725687,0.1964062411,0.3154213123,0.001521367442,0.02029618568,0.0537073476
89,2766.855937,2756.332759,2724.894022,1422.193239,40.7519706,600.8796467,1654.075636,30.22879218,569.4409101,351.3748528,-13427.93712,0.0110398706,0.2365979991,0.2921409833,0.001187189122,0.01940139121,0.05372234305
90,2723.801025,2714.030799,2686.306112,1396.339026,32.02234867,601.0596223,1661.406341,22.25212224,573.3349348,371.439256,-13329.52707,0.008252968578,0.2421528176,0.3186838171,9.35E-04,0.01958823437,0.05504088351
91,2768.285994,2745.582807,2597.69135,1378.106619,58.10209253,618.1487016,1600.972727,35.39890543,470.2572446,381.3879959,-13588.81002,0.01297373282,0.2023272379,0.3337113404,0.001726975159,0.0203183783,0.05502489419
92,2834.534793,2815.695666,2726.782281,1424.361427,46.28202021,590.4224063,1660.430978,27.4428933,501.5090213,358.0101239,-13591.47893,0.009855236988,0.2050226956,0.2983088752,0.001361768333,0.01926294016,0.05549478344
93,2852.93501,2833.920223,2759.880144,1432.691987,45.11648649,645.8051553,1691.831819,26.10169873,571.7650769,364.6436616,-13588.6704,0.009263500484,0.2343412565,0.3033300549,0.001328101225,0.02126079363,0.05627192227
94,2730.52297,2725.74312,2647.544895,1374.53907,32.42533989,628.5168048,1629.306866,27.64548968,550.3185798,356.3010405,-13539.41102,0.01017374256,0.2353278772,0.3098367759,9.96E-04,0.02185221764,0.05746843154
95,2869.982526,2848.32802,2651.853169,1410.366802,55.65283847,639.1590052,1640.635761,33.99833281,442.6841538,399.1493938,-13534.6025,0.01203503787,0.1854441672,0.3427687098,0.00160108403,0.02006336331,0.05449382408
96,2817.697062,2795.457865,2595.51375,1396.520721,51.08699275,636.432156,1573.220121,28.84779569,436.4880412,374.2270915,-13385.57879,0.01040457801,0.1866319049,0.3213374579,0.001473450402,0.01985177727,0.05129901704
97,2835.050063,2814.723712,2631.759095,1392.391372,40.47690751,650.4824462,1603.198434,20.15055639,467.5178298,363.8307102,-13552.33962,0.007178159401,0.1981928414,0.3118449379,0.001215266342,0.02169304343,0.05537529345
98,2772.27122,2764.744044,2636.627227,1395.426116,36.86120756,635.7142993,1600.53147,29.3340314,507.5974819,359.3303589,-13445.39985,0.01068867784,0.2162343331,0.307049451,0.001086875845,0.0207478312,0.05337290169
99,2824.458737,2809.374486,2706.738717,1442.437572,44.74278673,606.0506756,1665.786273,29.65853598,503.4149063,401.4851288,-13335.05218,0.0105968051,0.207519214,0.3353993633,0.001202600005,0.01766255637,0.05070986924
100,2771.800425,2747.309576,2590.407801,1383.281419,52.35076209,658.5221091,1562.377889,27.8599124,501.6203342,355.251508,-13489.49847,0.01021596968,0.2182522472,0.3058381013,0.001547367896,0.02149348314,0.05203656281
