# Node,introns,
"(Sc,Sf)",2803.054774,
"((Sc,Sf),Sb)",2787.794111,
"(((Sc,Sf),Sb),Sa)",2641.874571,
"(((Sc,Sf),Sb),Sa),Pg",1394.884108,
# Branch,gain,loss
"(((Sc,Sf)",44.61207131,29.35140857
"((Sc,Sf),Sb)",633.4141176,487.4945772
"(((Sc,Sf),Sb),Sa)",1614.976029,367.9855657
